Action,Campaign status,Customer ID,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,Label,Final URL suffix
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,Search,Google search,20.00,Daily,Maximize Conversions,de;,"15 | km | Munich, Bavaria, Germany",Praxis München 2026,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}-{creative}&utm_term={keyword}
Add,Paused,413-003-0542,Search | Psychotherapie | München | Leads,Search,Google search,10.00,Daily,Maximize Conversions,de;,"15 | km | Munich, Bavaria, Germany",Praxis München 2026,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}-{creative}&utm_term={keyword}
