Action,Customer ID,Negative keyword,Keyword or list,Campaign
Add,413-003-0542,Praxis München | Gemeinsame Ausschlüsse,List,Search | ADHS-Therapie | München | Leads
Add,413-003-0542,Praxis München | Gemeinsame Ausschlüsse,List,Search | Psychotherapie | München | Leads
Add,413-003-0542,Praxis München | Psychotherapie Routing,List,Search | Psychotherapie | München | Leads
